objectid,filename,title,publisher,series,volume,issue,date,covercharacters,binder,bindersec,barcode,callnum,picturecreds,copies,rightsholder
obs001,obs001.jpg,Batman:Legends of the Dark Knight: Viewpoint,DC Comics,Batman: Legends of the Dark Knight,1,0,1994,Batman,2,,30611000567261,PC10049,,,
obs089,obs089.jpg,Azrael: Agent of the Bat: Angels in Disguise,DC Comics,Azrael: Agent of the Bat,1,97,2002,Azrael,18,,30611000543775,PC10479,Brian Kurtz,1,
obs090,obs090.jpg,World's Finest Comics starring Superman and Batman,DC Comics,Batman/Superman: World's Finest,1,1,2022,Batman; Superman,5,,30611000569200,PC10117,,1,
obs100,obs100.jpg,Superman in Action Comics: Born Again,DC Comics,Action Comics,1,687,1993,,8,,30611000570109,PC10192,,1,
obs118,obs118.jpg,Teen Titans: The Culling,DC Comics,Teen Titans,2,9,2013,Teen Titans,2,,30611000563914,PC10036,,1,
obs157,obs157.jpg,Green Arrow and Black Canary: A League of Their Own (Part III) - The Man Behind the Curtain,DC Comics,Green Arrow and Black Canary,1,11,2008,Green Arrow,16; 17,,30611000572691; 30611000572220,PC10445; PC10417,,1,
obs170,obs170.jpg,The Sandman: Season of Mists: Chapter 6,DC Comics,The Sandman,1,27,1991,,9,,30611000570315,PC10222,,2,
obs194,obs194.jpg,Human Target: Death in Venice!,DC Comics,Human Target,3,3,2010,,17,,30611000573509,PC10455,,1,
obs196,obs196.jpg,Death: The High Cost of Living: A Night To Remember,DC Comics,Death: The High Cost of Living,1,2,1993,,9,,30611000570281,PC10221,,1,
obs216,obs216.jpg,Avengers: Party Games!,Marvel Comics,,,,,,15,,30611000572121,PC10402,,1,
obs238,obs238.jpg,Avengers vs. X-Men: Avengers Vs. X-Men (Part Six),Marvel Comics,Avengers vs. X-Men,1,6,2012,,20,,30611000566016,PC10526,,1,
obs258,obs258.jpg,Uncanny X-Men: Knots,Marvel Comics,Uncanny X-Men,1,289,1992,Storm; X-men,12,,30611000570620,PC10313,,1,
obs289,obs289.jpg,X-Factor: Into Oblivion,Marvel Comics,X-Factor,1,98,1993,,7,,30611000569697,PC10169,,1,
obs313,obs313.jpg,Fantastic Four: It's Always Darkest Before the... Doom!,Marvel Comics,Fantastic Four,1,375,1993,"Mister Fantastic; Invisible Women; Thing, Human Torch",2,,30611000567345,PC10044,,1,
obs329,obs329.jpg,Captain America Theater of War: Prisoners of Duty,Marvel Comics,Captain America Theater of War,1,1,2009,Captain America,18,,30611000543825,PC10474,,1,
obs377,obs377.jpg,Web of Spider-Man: Foreign Affairs,Marvel Comics,Web of Spider-Man,1,92,1992,Spiderman; Swift; Pulse,8,,30611000569937,PC10197,,1,
obs384,obs384.jpg,Venom: Web of Death!,Marvel Comics,,,,,,11,,30611000571669,PC10273,,,
obs409,obs409.jpg,X-23: Innocence Lost,Marvel Comics,,,,2006,X-23,18,,30611000543809,PC10480,,,
obs443,obs443.jpg,Silver Surfer: In thy name,Marvel Comics,Silver Surfer,1,1,2007,Silver Surfer,1,,30611000565174,PC10026,,,
obs454,obs454.jpg,Wonder Man: The Big Splice,Marvel Comics,Wonder Man,1,4,1991,Splice,11,,30611000571164,PC10295,,,
obs497,obs497.jpg,Badger: Emu the Gods Would Destroy,First Comics,Badger,1,58,1990,,15,,30611000570364,PC10379,,,
obs510,obs510.jpg,Invincible,Image Comics,,,,,,10,,30611000571461,PC10253,,,
obs516,obs516.jpg,The Lone Ranger,Dynamite,The Lone Ranger,1,3,2007,The Lone Ranger,20,,30611000565034,PC10003,,,
obs531,obs531.jpg,Godzilla: Kingdom of Monsters,IDW Comics,Godzilla: Kingdom of Monsters,1,4,2011,Godzilla,12,,30611000571297,PC10308,,,
